culture,wld.regs,wld.reg1,gene.5ht,hpp.9,hpp.z9,hpp.z8xl,hpp.z8xt,hpp.z7,hpp.z6,hpp.bst,hpp.ind.bst,gdp.who,gdp.wb,gdp.fact,pop.dens,lat.popu,lat.cent,new.gini,sexratio,sex.rat,soi.tot,soi.male,soi.fem,soi.sexd,b5m.neu,b5m.ext,b5m.ope,b5m.agr,b5m.con,acqui.m,b5s.ext,b5s.agr,b5s.con,b5s.neu,b5s.ope,b5.2.ext,b5.2.ope,b5.2.neu,b5.2.agr,b5.2.con,ind.hof,ind.suh,col.gelf,col.pron,food.spc,food.plt,food.per,pat.lei,pat.sch,pat.fil,pat.lep,pat.thu,pat.mal,pat.trp,pat.tb,pat.den,conform,wvs.ind,wvs.obe,wvs.rac,wvs.rel1,hdi,lif.sat,sat.inq,left.wri,left.gen,b5fs.n1,b5fs.n2,b5fs.n3,b5fs.n4,b5fs.n5,b5fs.n6,b5fs.e1,b5fs.e2,b5fs.e3,b5fs.e4,b5fs.e5,b5fs.e6,b5fs.o1,b5fs.o2,b5fs.o3,b5fs.o4,b5fs.o5,b5fs.o6,b5fs.a1,b5fs.a2,b5fs.a3,b5fs.a4,b5fs.a5,b5fs.a6,b5fs.c1,b5fs.c2,b5fs.c3,b5fs.c4,b5fs.c5,b5fs.c6,b5fo.n1,b5fo.n2,b5fo.n3,b5fo.n4,b5fo.n5,b5fo.n6,b5fo.e1,b5fo.e2,b5fo.e3,b5fo.e4,b5fo.e5,b5fo.e6,b5fo.o1,b5fo.o2,b5fo.o3,b5fo.o4,b5fo.o5,b5fo.o6,b5fo.a1,b5fo.a2,b5fo.a3,b5fo.a4,b5fo.a5,b5fo.a6,b5fo.c1,b5fo.c2,b5fo.c3,b5fo.c4,b5fo.c5,b5fo.c6,b5avgn,b5avge,b5avgo,b5avga,b5avgc,b5avgsd,dom.viol,free.pr,free.cl,free.2,prop.rts,indx.dem
New Zealand,ins.pac,3,43.03,4,-.97531712469629,-.963566472237462,-.926058284228299,-.905591989922782,-.887883434428468,-.97531712469629,-.97531712469629,24643,23059,26000,1.186,36,41,36.2,1.011,97.3,47.69,60.42,38.79,.69,47.9,52.4,50.1,50.1,47.8,514,50.61,46.83,44.18,49.59,49.49,103.01,99.59,97.49,96.93,91.98,79, ,3.67,0, , , ,0,0,0,1,0,1,0,1,1, ,53.7,21.9,2.9,5.1,.933,7.4,2.3,6.5,6.2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48.9,50.2,50,48.4,49.6,48.4,52.4,51.9,50,48.5,54.9,50.6,50.7,47.7,50.7,50,51,54.3,51.7,51.5,51.4,49.7,52.5,47.5,51.9,48,48.5,48.6,50.3,48, , , , , , ,1.39,1,1,2,95,33.5
Nicaragua,s.am,6, , , ,.110728117011378, ,.158678363435342,.0294565538198989,.11,.158678363435342, ,3458, , , , ,43.1, ,98.7, , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,0,1, ,0,3,1,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4.39,3,3,6,25,18.2
Niger,africa,4, ,18,.509501293041767,.567313557175466,.458246375606052,.516995403553749,.609647479292763,.509501293041767,.509501293041767, ,832, , , , ,50.5, ,100.1, , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,3,2,2,1,2,2,3,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2.2,3,3,6,30,7.6
Nigeria,africa,4, ,24,1.16076861724002,1.16044860635612,1.19092211532909,1.19486403118878,1.23833983286557,1.16076861724002,1.16076861724002,1085,1208,1400,2.171,9,10,43.7,1.035,100.2, , , , ,47.8,44.4,49.1,46.6,45.8,507, , , , , , , , , , ,20,3,5.55,0,2.6,19,.136842105263158,1,3,3,3,2,3,3,3,3, ,26,71.7,30.4,63.7,.453, ,2.7,5.5,4.9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,46.7,50.5,52.7,51.3,48.6,51.4,42.8,47.8,48.7,46.5,51.4,45.4,47.8,49.9,44.6,52.4,49.6,46,46.9,45.6,42.7,50.8,47.8,47.1,45,47.7,44.2,47,46.3,50.2, , , , , , ,6.72,4,4,8,30,10.2
Niue,ins.pac,3, , , , ,-.950512521641473,-.933539689823553,-.758334705644645,-.95,-.933539689823553, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,2,1,0,0,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Norfolk Island,ins.pac,3, , , , , , ,-1.04382949244469,-1.04,-1.04, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0, ,0, ,0, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Northern Ireland,w.euras,1, ,5,-.870947503512465,-.706609957863272,-.951700490456978,-.775422293564259,-.736018788676858,-.870947503512465,-.870947503512465,31308, , , ,55, , , , , , , , ,50.1,55.6,47.5,52.4,47.4,516, , , , , , , , , , , ,5, , , , , ,0,0,0,0,2,1,0,2,0, ,50.7,55.9,11.2,12.7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51.4,50.3,50.9,49.7,50.9,47.7,55.1,52.7,50.8,49.5,52.9,52.1,50.5,44.5,53.8,49.2,48,52.1,51.4,53.1,54.9,50.3,54.7,51.1,50.6,47.8,49.1,46.6,49,47.9, , , , , , , , , , , , 
Northern Mariana Isl,ins.pac,3, , , , ,-.58507865215395,-.515900981837812,-.433243924996003,-.43,-.515900981837812, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,1,1,0,1,0, ,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Norway,w.euras,1, ,5,-.85264142608015,-.965097001836691,-.788048123285142,-.907341166607615,-.889924140560774,-.85264142608015,-.85264142608015,38813,38196,47800,1.178,60,62,25,1.03,98.4, , , , , , , , , , , , , , , , , , , , ,69,6.95, ,0,1.6,14,.114285714285714,0,0,0,2,1,1,0,1,0, , ,27.8, , ,.963,7.4,2, , ,47.3,46.5,49.6,47.7,54.7,47.7,47.5,56.6,50.7,53.1,50.7,54.4,52.9,50.7,50.1,53.2,49.6,53,51.5,50.1,48.6,48.5,49.7,52.8,47.8,48.2,49,48.8,45.8,48.6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,47.4,53.6,51.5,49.9,45.7,10.2,1.79,1,1,2,90,39.2
Oman,w.euras,1, ,12,-.143927163061228,-.167793455940403,.00925542261114549,.00386288584528441,.0109928752995542,-.143927163061228,-.143927163061228, ,11942,19000, , , , , ,131.5, , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,0,2,2,2,2,0,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,11,50,0
