,tone_avg
653,-2.3972602
654,-5.3030305
655,-12.571428
656,-12.142858
657,1.5060241
658,3.2723773
659,0.39946738
660,1.5137181
661,0.0
662,-3.4031413
663,1.4173229
664,0.42372882
665,0.48939642
666,-2.173913
667,0.34843206
668,2.097902
669,0.1996008
670,-1.1312218
671,1.9400352
672,-5.2208834
673,0.71428573
674,-0.729927
675,-0.4366812
676,-4.7619047
677,1.3333334
678,0.3372681
679,-4.6332045
680,-8.579088
681,-0.4366812
682,-14.754098
683,-0.78492934
684,-3.6764705
685,0.0
686,2.3346303
687,-1.3729978
688,1.0989012
689,0.0
690,-5.8577404
691,-2.2058823
692,-2.415459
693,-1.5130674
694,1.7123288
695,0.25
696,-1.242236
697,-0.7389163
698,-2.4169185
699,3.1201248
700,0.55452865
701,-5.579399
702,6.5155807
703,-1.7977529
704,0.6309148
705,1.5332198
706,-4.090909
707,-5.8295965
708,-10.431655
709,-2.2364218
710,3.2110093
711,-1.4184397
712,-1.9704434
713,0.0
714,-2.4691358
715,-2.5062656
716,-2.5761125
717,-1.1811024
718,-3.5
719,2.5996535
720,0.0
721,-1.9851117
722,-0.30395138
723,-2.833638
724,2.670623
725,0.5076142
726,-7.112971
727,2.0419426
728,-3.7617555
729,-4.716981
730,-6.8627453
731,-1.9575857
732,-0.9852217
733,3.0959752
734,3.4632034
735,3.3898306
736,-0.5181347
737,-4.1666665
738,-1.5151515
739,4.7244096
740,1.0324484
741,-6.069364
742,-9.947644
743,0.6329114
744,0.0
745,-1.4492754
746,-3.1468532
747,-1.4940239
748,0.23041475
749,-5.2511415
750,-6.8965516
751,-0.4587156
752,0.88495576
753,2.9850745
754,-0.69284064
755,2.4489796
756,-2.431611
757,-2.6509573
758,-2.4242425
759,-2.1052632
760,5.4054055
761,-4.366812
762,6.5637064
763,-0.6802721
764,-1.5463917
765,-1.9274377
766,-0.7334963
767,-3.8961039
768,-3.1914895
769,-2.631579
770,1.4423077
771,-0.8
772,-6.7010307
773,-4.6242776
774,-9.448819
775,2.7149322
776,-1.285347
777,2.0833333
778,0.0
779,-3.0674846
780,-3.0
781,-3.164557
782,-2.8880866
783,-1.8726592
784,-0.53571427
785,-0.22026432
786,1.1792452
787,0.34965035
788,3.235294
789,1.9569472
790,1.9569472
791,2.3255813
792,1.5772871
793,1.4705882
794,1.4705882
795,1.2096775
796,1.8
797,-0.990099
798,-0.19685039
799,8.1081085
800,2.3952096
801,0.62305295
802,1.6129032
803,3.9076376
804,0.0
805,-1.2987013
806,4.388715
807,1.3452915
808,1.0416666
809,2.8169014
810,3.9840639
811,-0.89686096
812,-3.23741
813,2.4390244
814,3.5856574
815,3.5856574
816,-2.1505377
817,6.285714
818,3.2432432
819,4.385965
820,0.0
821,-0.4385965
822,-0.64412236
823,-3.030303
824,8.02139
825,-1.2787724
826,-1.2690356
827,-0.37243947
828,-0.3710575
829,-1.5594542
830,-1.553398
831,-1.7730496
832,-1.7857143
833,0.0
834,0.0
835,1.2578616
836,1.6853932
837,-0.8130081
838,-1.7937219
839,-1.4634147
840,-3.5864978
841,-3.5864978
842,-0.3081664
843,-1.5659956
844,-2.6168225
845,-2.6168225
846,-5.46875
847,-0.7490637
848,-2.8268552
849,-1.6393442
850,1.5118791
851,8.219178
852,1.8302828
853,3.539823
854,-4.4491525
855,1.6574585
856,-0.5633803
857,-2.930403
858,-0.754717
859,2.6455026
860,-2.7874565
861,-2.7729635
862,2.1857924
863,2.162162
864,2.3809524
865,3.6885245
866,0.61349696
867,0.6122449
868,-1.6460905
869,-1.8769552
870,4.329897
871,0.0
872,0.0
873,0.0
874,2.7692308
875,-2.4813895
876,2.6755853
877,1.4851485
878,1.1695906
879,0.5882353
880,-2.6785715
881,-2.6785715
882,-1.5822785
883,3.1076581
884,3.821656
885,4.048583
886,-3.5573123
887,0.4716981
888,2.0504732
889,-2.1653543
890,-1.3793104
891,0.20325203
892,1.3274336
893,-0.9433962
894,2.2653723
895,-4.104104
896,-2.9498525
897,2.9585798
898,-1.9292605
899,-1.5873016
900,1.5151515
901,0.07097232
902,0.0
903,-2.1164021
904,5.172414
905,-0.6762468
906,-2.8355389
907,-4.1984735
908,-5.5183945
909,-5.5183945
910,0.6849315
911,-5.6485357
912,-0.77922076
913,-9.489051
914,-10.0
915,-2.889577
916,-6.097561
917,-2.3947752
918,-9.302325
919,-7.086614
920,-1.3487476
921,-6.8610635
922,-2.3622048
923,-3.1007752
924,-1.1278195
925,-3.7109375
926,-11.764706
927,-1.6666666
928,-5.4545455
929,-1.7182131
930,-2.5782688
931,-3.678161
932,-0.8695652
933,-2.4640658
934,0.3125
935,0.3125
936,-2.7027028
937,1.5873016
938,-2.259887
939,-2.5782688
940,-0.6557377
941,-2.7829313
942,-2.542373
943,-2.9761906
944,-4.3923864
945,-4.3923864
946,-3.9443154
947,-0.17699115
948,1.4030613
949,-5.6
950,-3.6764705
951,0.7518797
952,0.0
953,4.716981
954,0.0
955,-0.729927
956,-4.3103447
957,-2.2836537
958,-1.1049724
959,0.7952286
960,-0.75244546
961,-3.0882354
962,1.4563106
963,1.754386
964,-4.347826
965,0.43103448
966,-3.7974684
967,-1.0355029
968,-5.5147057
969,-3.409091
970,0.9708738
971,0.0
972,-5.577689
973,1.4492754
974,2.142857
975,4.913295
976,0.0
977,-7.8703704
978,0.58027077
979,-1.772152
980,0.0
981,1.9230769
982,-1.7621145
983,2.5157232
984,-2.6950355
985,-0.3472222
986,-1.0582011
987,-0.5167959
988,-0.88495576
989,-0.63424945
990,-2.7586207
991,2.7777777
992,-0.89605737
993,-0.32786885
994,0.16750419
995,-2.3219814
996,-1.3452915
997,0.13850416
998,0.13850416
999,-1.4117647
1000,-1.461039
1001,-2.0190024
1002,-1.1444921
1003,-0.8445946
1004,0.25
1005,0.25
1006,0.0
1007,0.87873465
1008,-0.8
1009,1.1464968
1010,0.8415147
1011,-0.8253095
1012,-1.3480393
1013,2.0342612
1014,-2.5297618
1015,-2.7941177
1016,0.19723865
1017,-2.435065
1018,-2.0
1019,-0.83682007
1020,-3.6723163
1021,-1.0169492
1022,0.0
1023,-2.0373514
1024,-0.9794319
1025,-2.658228
1026,-2.2022839
1027,-1.1029412
1028,-2.3653088
1029,-3.4574468
1030,0.25
1031,0.0
1032,0.08920607
1033,1.7162471
1034,-1.641791
1035,1.2658228
1036,1.4836795
1037,-0.4878049
1038,-2.8608582
1039,-0.12658228
1040,-2.6570048
1041,-1.9117647
1042,-0.46153846
1043,-2.6570048
1044,0.25412962
1045,-0.1669449
1046,-1.6666666
1047,-0.109529026
1048,-3.215169
1049,-3.2303371
1050,-3.5714285
1051,-3.6889331
1052,-2.6570048
1053,-1.9966722
1054,-3.8404727
1055,-2.0671835
1056,-1.9693655
1057,-5.393457
1058,-1.6560509
1059,-2.7472527
1060,-3.387097
1061,-2.415459
1062,-1.0256411
1063,-0.89686096
1064,-3.1930335
1065,-1.235955
1066,-0.7633588
1067,-2.7149322
1068,-2.4590163
1069,-3.030303
1070,-1.1376565
1071,-2.921536
1072,-3.9800994
1073,-2.6041667
1074,-2.9225907
1075,-1.9047619
1076,-1.2618296
1077,-2.4216523
1078,-1.3368984
1079,-4.957507
1080,-3.3013844
1081,-2.7251184
1082,-2.713704
1083,-1.9973369
1084,-2.1505377
1085,-2.4839005
1086,-3.3096926
1087,-1.2676057
1088,-2.425876
1089,-0.22271715
1090,-2.7063599
1091,-1.0416666
1092,-5.915493
1093,-3.117693
1094,0.0
1095,-2.1887825
1096,-2.0376174
1097,-2.0270271
1098,-2.7231467
1099,-2.9565217
1100,-4.8969073
1101,-3.006012
1102,-0.8032129
1103,-2.1181717
1104,-4.6783624
1105,-2.3529413
1106,-3.1404958
1107,-1.5197568
1108,-0.38910505
1109,0.52562416
1110,-2.915452
1111,-0.10111223
1112,-2.7315915
1113,-0.9268795
1114,-0.20140988
1115,-0.3816794
1116,-2.1182702
1117,-1.4893616
1118,0.0
1119,0.5586592
1120,-3.8983052
1121,-3.0696576
1122,-9.89011
1123,-4.2525773
1124,-6.3492064
1125,-3.4530387
1126,-0.73313785
1127,-5.319149
1128,-6.294964
1129,-1.0526316
1130,4.7619047
1131,0.78431374
1132,0.0
1133,-3.8065028
1134,1.4527845
1135,3.0075188
1136,-6.260032
1137,-0.2793296
1138,-1.3140604
1139,-1.0213556
1140,-3.8065028
1141,-1.2631578
1142,0.17761989
1143,-6.260032
1144,-1.312336
1145,-2.1505377
1146,-2.857143
1147,1.2605042
1148,2.9045644
1149,-0.18656716
1150,7.6642337
1151,6.451613
1152,-0.86206895
1153,-0.4415011
1154,-0.23809524
1155,-0.83682007
1156,2.7777777
1157,0.75757575
1158,-0.83682007
1159,-1.2658228
1160,9.009009
1161,3.8356164
1162,6.878307
1163,11.171171
1164,-3.8709676
1165,-10.285714
1166,-6.508876
1167,-2.6168225
1168,-0.621118
1169,0.54347825
1170,-1.8556701
1171,-1.8461539
1172,-2.1844661
1173,-2.4038463
1174,-5.2173915
1175,4.6728973
1176,1.183432
1177,1.3452915
1178,2.142857
1179,-1.1925043
1180,0.9478673
1181,1.1299435
1182,0.0
1183,-3.0120482
1184,-3.180212
1185,-5.0
1186,2.484472
1187,-3.0612245
1188,-1.7886178
1189,-1.3024602
1190,-1.8779342
1191,-1.438849
1192,-5.9299192
1193,-3.1976745
1194,-3.2362459
1195,-0.77220076
1196,-4.850746
1197,8.988764
1198,1.3266999
1199,-0.41841003
1200,-3.1545742
1201,-3.9391227
1202,0.8
1203,-0.33112583
1204,1.3333334
1205,-0.9140768
1206,-6.122449
1207,4.887218
1208,-1.6949153
1209,2.4948025
1210,-3.6842105
1211,-5.811321
1212,-4.6153846
1213,-3.018868
1214,-0.98039216
1215,-0.4
1216,-0.5220693
1217,-1.6949153
1218,-1.5037594
1219,-2.0512822
1220,-3.3742332
1221,3.8610039
1222,2.3622048
1223,-4.0229883
