,ISO,RANK_FREEDOM,COUNTRY,ABUSE_SCORE,PROGRESS_FREEDOM,Rank 2018,Score 2018,ZONE,culture,wld.reg1,gene.5ht,hpp.9,hpp.z9,hpp.z8xl,hpp.z8xt,hpp.z7,hpp.z6,hpp.bst,hpp.ind.bst,gdp.who,gdp.wb,gdp.fact,pop.dens,lat.popu,lat.cent,new.gini,sexratio,sex.rat,soi.tot,soi.male,soi.fem,soi.sexd,b5m.neu,b5m.ext,b5m.ope,b5m.agr,b5m.con,acqui.m,b5s.ext,b5s.agr,b5s.con,b5s.neu,b5s.ope,b5.2.ext,b5.2.ope,b5.2.neu,b5.2.agr,b5.2.con,ind.hof,ind.suh,col.gelf,col.pron,food.spc,food.plt,food.per,pat.lei,pat.sch,pat.fil,pat.lep,pat.thu,pat.mal,pat.trp,pat.tb,pat.den,conform,wvs.ind,wvs.obe,wvs.rac,wvs.rel1,hdi,lif.sat,sat.inq,left.wri,left.gen,b5fs.n1,b5fs.n2,b5fs.n3,b5fs.n4,b5fs.n5,b5fs.n6,b5fs.e1,b5fs.e2,b5fs.e3,b5fs.e4,b5fs.e5,b5fs.e6,b5fs.o1,b5fs.o2,b5fs.o3,b5fs.o4,b5fs.o5,b5fs.o6,b5fs.a1,b5fs.a2,b5fs.a3,b5fs.a4,b5fs.a5,b5fs.a6,b5fs.c1,b5fs.c2,b5fs.c3,b5fs.c4,b5fs.c5,b5fs.c6,b5fo.n1,b5fo.n2,b5fo.n3,b5fo.n4,b5fo.n5,b5fo.n6,b5fo.e1,b5fo.e2,b5fo.e3,b5fo.e4,b5fo.e5,b5fo.e6,b5fo.o1,b5fo.o2,b5fo.o3,b5fo.o4,b5fo.o5,b5fo.o6,b5fo.a1,b5fo.a2,b5fo.a3,b5fo.a4,b5fo.a5,b5fo.a6,b5fo.c1,b5fo.c2,b5fo.c3,b5fo.c4,b5fo.c5,b5fo.c6,b5avgn,b5avge,b5avgo,b5avga,b5avgc,b5avgsd,dom.viol,free.pr,free.cl,free.2,prop.rts,indx.dem
0,NOR,1,Norway,"7,82",0,1,"7,63",UE Balkans,Norway,1,,5,-0.85264142608015,-0.9650970018366909,-0.7880481232851421,-0.9073411666076151,-0.8899241405607741,-0.85264142608015,-0.85264142608015,38813,38196,47800,1.178,60,62,25,01. Mar,98.4,,,,,,,,,,,,,,,,,,,,,69,Jun 95,,0,01. Jun,14,0.11428571428571402,0,0,0,2,1,1,0,1,0,,,27. Aug,,,0.963,07. Apr,2,,,47.3,46.5,49.6,47.7,54.7,47.7,47.5,56.6,50.7,53.1,50.7,54.4,52.9,50.7,50.1,53.2,49.6,53,51.5,50.1,48.6,48.5,49.7,52.8,47.8,48.2,49,48.8,45.8,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,53.6,51.5,49.9,45.7,10. Feb,Jan 79,1,1,2,90,39.2
1,FIN,2,Finland,"7,9",2,4,"10,26",UE Balkans,Finland,1,42.45,6,-0.7500378581575391,-0.849667987923754,-0.672619109372205,-0.775422293564259,-0.736018788676858,-0.7500378581575391,-0.7500378581575391,30415,29770,32800,1.236,61,64,29. May,1.024,95.9,50.5,64.03,41.6,0.69,,,,,,,49.84,49.46,51.6,47.84,50.33,,,,,,63,Jul 15,04. Jul,0,02. Jan,13,0.16153846153846202,0,0,0,2,2,1,0,1,0,,57.6,28. Apr,12. Mar,02. Feb,0.941,07. May,01. Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feb 71,1,1,2,95,33.6
2,SWE,3,Sweden,"8,31",-1,2,"8,31",UE Balkans,Sweden,1,43.63,4,-0.9766775954511601,-0.9650970018366909,-0.9275888138275279,-0.9073411666076151,-0.8899241405607741,-0.9766775954511601,-0.9766775954511601,30336,29443,31600,13.419.999.999.999.900,60,62,23,1.028,98.2,,,,,,,,,,,,,,,,,,,,,71,Jul 55,Mar 66,0,02. May,13,0.19230769230769199,0,0,0,1,1,1,0,1,0,,68.8,16. Aug,02. May,0.5,0.9490000000000001,07. May,2,,,45.6,45.5,49.8,46.3,47.8,49.6,47.8,54.8,46.9,46.1,45,53.4,48.4,45.6,48.4,49.7,43.9,50.7,52.9,51.8,51.7,52.7,54.6,59.1,48.8,49.8,52.7,42.7,47,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3,50.6,46,56.5,45.7,10. Aug,Feb 94,1,1,2,90,37.7
3,NLD,4,Netherlands,"8,63",-1,3,"10,01",UE Balkans,Netherlands,1,42.72,5,-0.87407402752855,-0.849667987923754,-0.812159799914591,-0.775422293564259,-0.736018788676858,-0.87407402752855,-0.87407402752855,31143,31749,31700,26.889.999.999.999.900,53,53,30. Sep,1.023,97.9,39.34,50.51,31.56,0.76,,,,,,,49.75,46.08,43.91,48.61,49.94,,,,,,80,08. May,03. Jul,0,,,,0,0,0,1,2,1,0,1,0,0.74,53.4,27. Jan,5,04. Mar,0.943,07. Jun,01. Jun,10. Aug,15. Aug,48.5,45.5,50.9,47.9,48.6,48.2,43.9,49.3,46.9,47.6,40.1,49.3,51.4,54.1,50.5,54.2,51,55.3,51.5,51.9,45.5,51.5,54,57.9,45.6,48.7,52.5,49.6,50,51.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.6,43.9,55.7,54.6,48.6,10. Feb,Mar 64,1,1,2,90,38.4
4,DNK,5,Denmark,"9,87",4,9,"13,99",UE Balkans,Denmark,1,40.8,4,-0.9766775954511601,-0.9650970018366909,-0.9275888138275279,-0.9073411666076151,-0.8899241405607741,-0.9766775954511601,-0.9766775954511601,31664,31768,37000,21.109.999.999.999.900,56,56,24,1.014,97.9,,,,,50.3,51.8,55.2,53.1,48.4,499,,,,,,,,,,,74,07. Jul,Mar 53,0,01. Sep,18,0.10555555555555601,0,0,0,1,1,1,0,1,0,,80.7,16,07. Apr,0.7,0.941,8,02. Jan,,,46.4,44.9,49.2,48.4,49.8,47.6,49.5,55.9,48,56.8,47.1,52.2,47.6,46.8,47.4,51.5,46.4,48.9,54.2,52.7,48.6,50.6,51.2,51.5,48.2,48.7,50.6,48.5,49.4,48.5,49.3,47.3,52.9,50.1,51.9,50.1,52.1,52,49.5,55.3,47.2,50.6,53.2,52,53.4,54.1,52.3,56.7,54.8,52.7,52,50.6,50.5,54.9,53.1,47.4,50.4,47.9,48.6,47.9,46.5,52.8,46.5,52,47.5,09. Mar,Feb 64,1,1,2,95,44.2
5,CHE,6,Switzerland,"10,52",-1,5,"11,27",UE Balkans,Switzerland,1,,3,-10.847.805.145.632,-10.867.127.858.377.300,-104.920.459.782.857,-10.463.306.340.373.800,-0.8899241405607741,-10.847.805.145.632,-10.847.805.145.632,34087,33062,33600,2.279,47,47,33.7,10.170.000.000.000.000,95.8,39.13,45.45,34.26,0.49,47.5,48.3,58.4,54,53.5,496,50.47,47.69,45.03,48.72,52.62,98.77,111.02,96.22,101.69,98.53,68,07. Sep,Mar 97,0,,,,0,0,0,1,1,0,0,1,0,,42.4,22. Jan,08. Jul,02. May,0.9470000000000001,8,01. Sep,,,51,50.6,50.1,53.1,51.6,53.4,47.3,51.1,49.8,52.8,46.2,52.5,57,57.3,56.4,55.4,54.8,53.6,46,44.7,46.5,45.1,46.7,51.5,48.9,50.6,48.6,50.6,45.6,48.7,46.3,45.3,44.9,48.7,47.8,45.6,52.2,48,49.6,51.5,43.3,52.4,53,55.2,57.2,55.1,55.4,56.8,53.2,52.1,54.9,53.8,50.1,52.4,55.9,52.2,54.8,51.3,53.7,51.4,53.2,48.5,58.9,47,49.6,10. Apr,03. Sep,1,1,2,90,40.3
6,NZL,7,New Zealand,"10,75",1,8,"13,62",Asie-Pacifique,New Zealand,3,43.03,4,-0.9753171246962901,-0.9635664722374621,-0.9260582842282991,-0.905591989922782,-0.8878834344284681,-0.9753171246962901,-0.9753171246962901,24643,23059,26000,1.186,36,41,36.2,1.011,97.3,47.69,60.42,38.79,0.69,47.9,52.4,50.1,50.1,47.8,514,50.61,46.83,44.18,49.59,49.49,103.01,99.59,97.49,96.93,91.98,79,,Mar 67,0,,,,0,0,0,1,0,1,0,1,1,,53.7,21. Sep,02. Sep,05. Jan,0.9329999999999999,07. Apr,02. Mar,06. May,06. Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.9,50.2,50,48.4,49.6,48.4,52.4,51.9,50,48.5,54.9,50.6,50.7,47.7,50.7,50,51,54.3,51.7,51.5,51.4,49.7,52.5,47.5,51.9,48,48.5,48.6,50.3,48,,,,,,,Jan 39,1,1,2,95,33.5
7,JAM,8,Jamaica,"11,13",-2,6,"11,33",Amériques,Jamaica,5,,15,0.17617131463264202,0.1923173314652,0.226308179956268,0.251923179953995,0.30039655175971697,0.17617131463264202,0.17617131463264202,4330,3849,4600,24.090.000.000.000.000,18,18,45.5,0.97,96,,,,,,,,,,,,,,,,,,,,,39,,,,,,,2,1,2,2,2,2,0,2,2,,,,,,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 19,2,3,5,50,12. Jul
8,BEL,9,Belgium,"12,07",-2,7,"13,16",UE Balkans,Belgium,1,,4,-0.99811019689956,-0.849667987923754,-0.9517004904569781,-0.775422293564259,-0.736018788676858,-0.99811019689956,-0.99811019689956,31481,31131,31800,2.536,51,51,28,1.018,95.8,32.82,39.68,26. Aug,0.69,49.6,52.2,50.4,49.8,47.4,502,45.99,45.07,43.03,53.6,54.59,98.19,104.99,103.2,94.87,90.43,75,Jul 25,,0,,,,0,0,0,0,2,1,0,1,0,0.94,40.7,37.4,16. May,03. Jun,0.945,07. Mar,02. Feb,07. May,15. Jul,52.4,50.6,54.9,50.8,51,53,43.3,52.7,46.7,48.8,47.9,50.5,52.8,52.8,50.2,49.3,48.6,52.1,47.7,48.9,44.7,46.4,53.6,53.8,43.8,47.2,48.7,48.5,46.1,49.1,49.5,49.7,52.4,46,53,49.6,49.8,51.9,50.2,50.2,50.6,51.9,52.5,49.5,51.2,49.8,49.5,52.2,50.9,50.6,49.7,47.3,52.2,50.7,47.4,47.7,48.6,49.6,49,48.4,53,47.7,51.8,50,46.6,10. Mar,Apr 63,1,1,2,80,42.8
9,CRI,10,Costa Rica,"12,24",0,10,"14,01",Amériques,Costa Rica,6,,14,0.11707922995575201,0.1258387362037,0.159829584694767,0.175947642512281,0.0496040460763279,0.11707922995575201,0.11707922995575301,8949,9916,12000,1.912,10,10,48,1.023,103.4,,,,,,,,,,,,,,,,,,,,,15,,May 32,1,,,,2,0,1,2,0,3,2,2,2,,,,,,0.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 65,1,1,2,50,20. Sep
10,EST,11,Estonia,"12,27",1,12,"14,08",UE Balkans,Estonia,1,34.81,7,-0.6228751647704449,-0.706609957863272,-0.672619109372205,-0.775422293564259,-0.736018788676858,-0.6228751647704449,-0.6228751647704449,14102,13925,19600,1.484,59,59,34,0.9109999999999999,85.5,39.95,51.51,31.83,0.66,47.9,52.1,46.8,47.8,50,506,50.41,49.58,45.84,46.99,53.17,102.51,99.97,94.89,97.38,95.84,60,4,,,,,,0,0,0,2,2,1,0,2,0,,21. Aug,24. Aug,15. Feb,01. Mar,0.853,05. Feb,02. Apr,,,49,45.7,49.9,48.7,50.1,44.8,49.1,48,51.5,52,50.3,51.3,54.4,53.4,53.9,49.3,50.1,47.2,52.1,46.8,45,46.9,55.3,56.6,44.6,50.3,52.4,50.2,49.6,50.6,48.8,47.9,49.2,48.8,50,46.2,49.8,50.3,52.2,53.4,50.5,50.6,48.8,46.7,49.5,46.4,47.4,50.9,50.7,48.7,48.8,47.4,48.6,49,49.7,51.4,49.7,50,50.6,48.9,49.7,49.9,52.6,50.8,49.6,12. Aug,,1,1,2,90,24
11,PRT,12,Portugal,"12,63",2,14,"14,17",UE Balkans,Portugal,1,,18,0.47171066686202795,0.52479910272326,0.558789951214327,0.631902347106063,0.7437055801037958,0.47171066686202795,0.47171066686202795,19475,19444,19100,2.064,39,40,38.5,0.986,93.7,29.55,41.27,21.32,01. Sep,51.6,51.3,51.3,51.1,50.7,512,48.06,49.52,47.75,50.21,50.29,99.36,101.59,101.81,100.62,98.45,27,Mar 85,May 51,1,04. May,27,0.166666666666667,3,2,2,2,3,2,0,2,2,0.58,21. Jul,42.5,07. Feb,9,0.904,06. Jul,02. Mar,,,56.9,51,54.5,52.8,49.8,54.8,47.2,48.8,45.7,47.3,50,46,49.1,54,47.4,51.1,47.6,42.8,46.1,47.1,45.6,52.3,52.9,52.9,44.9,50.8,50.2,51.7,46.4,51.4,53.5,49.5,50.1,49.3,51.8,50.2,51.5,50.2,49.4,49.6,52.6,49.4,52.6,50.5,51.8,50.9,50.3,51.2,51.3,49.3,50.6,51.1,52.3,51.8,51.5,51.5,51.1,51.4,50.2,49.9,55.5,46.3,49.2,51.2,50.3,09. Jun,May 72,1,1,2,70,23. Sep
12,DEU,13,Germany,"14,6",2,15,"14,39",UE Balkans,Germany,1,43.03,5,-0.87407402752855,-0.849667987923754,-0.812159799914591,-0.775422293564259,-0.736018788676858,-0.87407402752855,-0.87407402752855,28075,28215,31400,2.373,53,51,27,1.038,95.7,39.68,46.36,34.44,0.48,48.1,49.6,54.9,52.1,52.3,516,50.31,45.08,46.52,50.29,47.8,99.91,102.7,98.39,97.18,98.82,67,Jul 35,04. Feb,0,03. Feb,19,0.168421052631579,0,0,0,1,2,1,0,1,0,0.92,70.5,18,04. Mar,02. Jul,0.93,07. Jan,02. Feb,,,51.6,50.8,51.3,52.4,50.7,54.1,47.2,51.1,48.4,49.9,41.5,51.4,54.7,56.9,54.3,54.9,50.9,51.9,46.2,44.8,44.7,48.1,46.7,54.1,45.3,48.7,46.7,48.2,44.6,47,47.1,47.5,46.2,48.7,48.2,47.2,52.6,50.4,50.8,51.5,46.1,50.9,51,55.3,54.6,52.4,52.3,52.7,52.7,49.5,51.5,51.6,50,52.5,54.3,51.8,53.6,50.4,52.3,50.5,52.8,47.3,56.7,49.1,46.7,10. Jun,May 71,1,1,2,90,35.5
13,ISL,14,Iceland,"14,71",-1,13,"14,1",UE Balkans,Iceland,1,,2,-11.873.840.824.858.100,-12.021.417.997.506.600,-11.646.336.117.415.100,-117.824.950.708.073,-10.438.294.924.446.800,-11.873.840.824.858.100,-11.873.840.824.858.100,32590,32338,38100,0.479,64,65,25,1.028,100.8,,,,,48.6,51.5,51.2,52,49.3,508,,,,,,,,,,,,7,,,,,,0,0,0,1,0,0,0,1,0,,76.3,29. Aug,03. Jan,0.9,0.956,07. Aug,01. Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4,49.3,48.7,50.6,51.3,48.3,51.1,52.2,48.2,51.1,50,52.4,51.8,49.3,49.9,50.4,50.7,54.8,53.5,51.4,52.3,53.8,51.2,49.2,50.2,49.5,51.5,51.6,49.7,50.5,,,,,,,0.69,1,1,2,90,35
14,IRL,15,Ireland,15,1,16,"14,59",UE Balkans,Ireland,1,,9,-0.44681358793342896,-0.229459302836857,-0.474549835430563,-0.230107259248356,-0.424126672644414,-0.44681358793342896,-0.44681358793342896,36371,40087,43600,1.776,53,53,32,1.002,99.9,,,,,,,,,,,,,,,,,,,,,70,6,May 14,0,03. Feb,13,0.246153846153846,0,0,0,0,2,3,0,2,2,,49.5,38.5,12. Mar,13. Mar,0.946,07. Aug,02. Jan,12. May,11. Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,05. Feb,1,1,2,90,32.7
15,AUT,16,Austria,"15,33",-5,11,"14,04",UE Balkans,Austria,1,43.65,6,-0.774248869285624,-0.737364684900463,-0.6998564968913,-0.647075661537641,-0.424126672644414,-0.774248869285624,-0.774248869285624,31648,31900,35500,19.980.000.000.000.000,47,47,26,1.012,94.6,45.73,55.89,38.66,0.55,48.3,50.7,50.5,50.6,52.4,512,50.61,45.9,46.73,49.69,49.29,101.31,99.79,97.99,96.5,99.13,55,Jun 75,Apr 85,0,02. Jul,18,0.15,0,0,0,1,2,0,0,1,2,,70.5,21,06. Jul,02. Jun,0.9359999999999999,,02. Jan,,,52.5,51.6,50.7,51.8,50.7,53.4,48.9,52.2,48.5,49.2,44.1,53,58.1,58,55.8,54.1,54,53,46,43,45.6,46.3,46.4,53.8,47.2,47.4,46.7,49.4,43.7,47.6,47.4,48.8,47.2,48.5,49.8,48.6,51.8,50.7,50.9,51,47.1,51.5,48.9,50.6,50.9,49.1,51.7,50.5,51.5,49,51.6,50.6,48.7,51.6,54.5,52.8,52.9,50,53.2,50.5,52.9,48.4,59.1,48.2,46.7,11,Apr 17,1,1,2,90,37.7
16,LUX,17,Luxembourg,"15,66",0,17,"14,72",UE Balkans,Luxembourg,1,,3,-11.062.131.160.116,-0.9712837719247951,-107.331.627.445.802,-0.91441176099402,-0.736018788676858,-11.062.131.160.116,-11.062.131.160.116,57938,65994,68800,2.269,50,50,26,01. Feb,97.9,,,,,,,,,,,,,,,,,,,,,60,,,,,,,0,0,0,0,2,0,0,1,0,,48.7,26. Jan,06. Mar,03. Apr,0.9490000000000001,07. Jun,02. Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,1,1,2,90,29. Jan
17,CAN,18,Canada,"15,69",0,18,"15,28",Amériques,Canada,5,,1,-131.142.025.185.682,-12.021.417.997.506.600,-13.041.743.022.838.800,-117.824.950.708.073,-10.438.294.924.446.800,-131.142.025.185.682,-131.142.025.185.682,31389,30272,35200,0.565,44,60,32.1,01. Jan,98.1,34.52,44.33,27. Mar,0.75,49.5,52.5,48.4,49.9,49.6,519,48.32,49.14,49.05,50.58,48.75,100.82,97.15,100.08,99.04,98.65,80,08. May,Apr 26,0,,,,0,0,0,0,0,0,0,1,0,Jan 37,62.3,27,03. Apr,06. May,0.9490000000000001,07. Jun,2,12. Aug,12. Mar,50.4,46.4,50.5,50.8,50.7,48.9,50.4,50.2,49.7,51.3,51.3,52.5,52,51.6,42,48.2,49.9,42.6,44.9,48.4,41.9,54.8,49.9,50.2,44.2,48.9,45.7,48.1,47,53.5,51.5,50.1,49.9,48.6,49.8,49.5,52.5,53,51.6,48,52.7,50,50.1,47.4,50.9,47.4,50.4,50.7,49.7,49.7,52.3,49.9,49.9,49.3,50.7,50.3,49.9,48.8,50.5,50.9,50.5,51.7,51.6,51.9,49.2,11,May 18,1,1,2,90,24. Sep
18,URY,19,Uruguay,"16,06",1,20,"15,56",Amériques,Uruguay,6,,17,0.39026296762799895,0.43317044108497704,0.467161289576044,0.527183876662311,0.6215340312527529,0.39026296762799895,0.39026296762799895,9630,9418,10700,01. Mar,34,33,45.2,0.985,93.3,,,,,,,,,,,,,,,,,,,,,36,,,1,,,,3,2,2,2,0,2,2,2,2,,49.1,28. Aug,06. Aug,04. Mar,0.84,06. Jul,02. Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 25,1,1,2,70,31. Aug
19,SUR,20,Suriname,"16,38",1,21,"16,44",Amériques,Surinam,6,,19,0.628382307287125,0.701054698201494,0.5919875166320799,0.66984242186921,0.6258146219927451,0.628382307287125,0.628382307287125,4329,,7100,0.465,5,4,,0.992,100.8,,,,,,,,,,,,,,,,,,,,,47,,,,,,,2,2,2,2,1,3,2,3,2,,,,,,0.755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,40,22. Jul
20,AUS,21,Australia,"16,55",-2,19,"15,46",Asie-Pacifique,Australia,3,45.91,11,-0.253094628202295,-0.290606854224104,-0.11355797567255499,-0.136495283621802,-0.15275832241204598,-0.253094628202295,-0.253094628202295,31454,30161,32900,0.429,34,27,30. May,10.170.000.000.000.000,98.7,37.29,46.52,30.73,0.66,48.6,53.8,50.7,50,47.5,522,48.98,47.51,45.87,50.82,50.07,102.78,100.77,99.42,97.51,93.37,90,9,Apr 17,0,03. Apr,9,0.377777777777778,0,1,2,2,1,2,0,1,2,,52.9,33.7,04. Aug,06. Jan,0.955,07. Mar,02. Jan,10. Jul,10. Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,50.3,50.1,48.7,51.1,48.6,53.5,52.3,52.4,48.8,54.9,51.6,51.5,47.8,52.5,49.7,52.4,53.4,52,51.9,52.1,49.3,51.4,47.7,51,47.6,48.4,47.9,49.4,47.5,,,,,,,03. May,1,1,2,90,37.1
21,WSM,22,Samoa,"18,25",0,22,"16,69",Asie-Pacifique,Samoa,3,,,,,-0.353032655512571,-0.410180632010392,-0.147749138195958,-0.35,-0.410180632010392,,5747,,,,,,,108.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,2,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,60,
22,NAM,23,Namibia,"18,95",3,26,"20,24",Afrique,Namibia,4,,12,-0.0878560021270619,-0.104713399889466,-0.21378058145888001,-0.25103540452045997,-0.28638846346047997,-0.0878560021270619,-0.0878560021270619,7910,6469,7400,0.396,,22,70.7,1.015,96.7,,,,,,,,,,,,,,,,,,,,,,,Apr 52,,,,,0,1,0,2,3,2,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,30,07. Apr
23,LVA,24,Latvia,"19,53",0,24,"19,63",UE Balkans,Latvia,1,,7,-0.6228751647704449,-0.706609957863272,-0.672619109372205,-0.775422293564259,-0.736018788676858,-0.6228751647704449,-0.6228751647704449,11802,12113,15400,1.551,57,57,36,0.946,85.2,43.93,49.42,41.68,0.3,,,,,,,49.39,43.79,44.21,51.11,49.91,,,,,,,4,,,,,,0,0,0,2,2,1,0,2,0,,50.8,18. May,04. Aug,01. Jul,0.836,04. Aug,02. Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,55,27. Jun
24,CPV,25,Cape Verde,"19,81",4,29,"20,39",Afrique,Cape Verde,4,,,,,-0.222104390533779,-0.260548329177487,-0.459641254228401,-0.22,-0.260548329177487,,6577,,,,,,,91.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,2,0,3,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,70,14. Apr
25,LIE,26,Liechtenstein,"20,49",4,30,"20,49",UE Balkans,Liechtenstein,1,,3,-10.847.805.145.632,-10.867.127.858.377.300,-104.920.459.782.857,-10.463.306.340.373.800,-0.8899241405607741,-10.847.805.145.632,-10.847.805.145.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,
26,GHA,27,Ghana,"20,81",-4,23,"18,41",Afrique,Ghana,4,,24,116.076.861.724.002,11.604.486.063.561.200,119.092.211.532.909,11.948.640.311.887.800,12.383.398.328.655.700,116.076.861.724.002,116.076.861.724.002,2250,2221,2600,19.969.999.999.999.900,6,8,39.4,0.996,102.7,,,,,,,,,,,,,,,,,,,,,20,3,,0,02. Feb,19,0.1157,1,3,3,3,2,3,3,3,3,Jan 91,,,,,0.52,,02. Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apr 43,1,2,3,50,15
27,ESP,29,Spain,"21,99",2,31,"20,51",UE Balkans,Spain,1,46.75,13,-0.04509176165877099,-0.05660362936263901,0.12044524918891,0.130936973362729,0.32140035607129497,-0.04509176165877099,-0.04509176165877099,24325,25935,27000,19.080.000.000.000.000,41,40,32,10.070.000.000.000.000,96.9,33.72,46.08,25.17,01. Jan,49.7,50.4,48.8,51.4,51.3,500,49,45.26,46.8,54.03,49.64,99.4,98.44,103.73,96.66,98.1,51,05. May,May 45,1,,,,3,0,1,2,3,1,0,1,2,,44.4,41.4,11. May,07. Feb,0.9279999999999999,06. Jun,02. Feb,03. Jun,6,58.6,50.1,56.5,54,52,57.6,43.3,50.6,45.6,50.1,48.3,49.2,52.4,51.1,47.7,44.6,45.4,48.5,47,43.8,45.8,44.8,53.1,57.2,44.6,48.1,47.8,51.4,44.3,51.8,51.6,46.3,49.5,49.9,50.8,48.8,50.5,50.6,51.4,50,46.3,51.7,49.8,49.4,49,47.9,47.1,53.1,51.2,48.6,50.2,50.4,54.4,50.6,52.7,51.2,51.7,51.3,52.1,51.3,57.1,48.3,48,49.4,48.3,11. Feb,Jun 36,1,1,2,70,31. Jul
28,LTU,30,Lithuania,"22,06",6,36,"22,2",UE Balkans,Lithuania,1,,6,-0.7469113341414549,-0.706609957863272,-0.812159799914591,-0.775422293564259,-0.736018788676858,-0.7469113341414549,-0.7469113341414549,12572,12448,15100,1.739,55,56,36,0.9590000000000001,87.4,46.1,60.44,35.25,0.82,,,,,,,49.71,42.61,44.56,51.87,49.04,,,,,,,4,,,,,,0,0,0,1,2,1,0,2,0,,76.9,22. Apr,09. Aug,03. Jun,0.852,04. Sep,02. Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,50,27. Apr
29,ZAF,31,South Africa,"22,19",-3,28,"20,39",Afrique,South Africa,4,27.79,14,0.10929398009457901,0.117080330109879,0.008013148540465179,0.00244314405022123,0.00933650987198046,0.10929398009457901,0.10929398009457901,8506,11503,13000,1.557,27,29,65,0.951,96.9,,,,,,,,,,,49.61,49.97,49.61,49.01,49.01,,,,,,65,May 75,,0,02. Jun,8,0.325,0,2,0,2,3,2,0,3,2,,62.5,48.1,23. Jun,19. Apr,0.6579999999999999,05. Jun,03. Jan,,,49,49.8,53.2,52,47.6,50.1,46.9,48.3,47.3,46.2,44.9,47.9,48.7,52.6,47.6,49.9,51.1,45.8,46.2,50.5,45,52.7,51,51.2,44.8,47.8,47.1,47.7,47,51.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.5,44.3,51.5,51.3,47.9,09. Apr,Jun 62,2,2,4,50,12. May
